_RAJ2000	_DEJ2000	_V	TYC1	TYC2	TYC3	RAJ2000	DEJ2000	VTmag	BTmag	r_SpType	Dist	Teff	SpType	recno
208.1187363000	-12.6324236800	VizieR	5559	104	1	208.11873630	-12.63242368	10.444	11.010	mc4	0.098	6200	F8/G1 (V)	197500
206.8433844500	-12.9029457800	VizieR	5559	106	1	206.84338445	-12.90294578	9.098	9.475	mc4	0.277	7200	F0 V	197501
207.8964156000	-13.0150984000	VizieR	5559	197	1	207.89641560	-13.01509840	7.139	8.293	mc4	0.949	4900	G8/K0 III	197503
208.9232066000	-13.7403194600	VizieR	5559	212	1	208.92320660	-13.74031946	8.542	9.703	mc4	0.367	4900	G8 IV	197504
207.4371559400	-12.5514493400	VizieR	5559	251	1	207.43715594	-12.55144934	8.125	10.156	mc4	0.024	3720	M1 III	197505
208.5603369200	-14.1061496200	VizieR	5559	253	1	208.56033692	-14.10614962	10.086	10.709	mc4	0.205	7200	F0 V	197506
208.7940610500	-13.9596085700	VizieR	5559	447	1	208.79406105	-13.95960857	10.063	10.895	mc4	0.490	6200	F8/G0 V	197507
207.5869677300	-13.1102479800	VizieR	5559	476	1	207.58696773	-13.11024798	7.708	9.677	mc4	0.183	3720	M1 III	197508
208.2534450500	-12.7060554200	VizieR	5559	585	1	208.25344505	-12.70605542	10.313	10.935	mc4	0.048	6440	F6/8 V	197509
208.1809259600	-12.6203899700	VizieR	5559	991	1	208.18092596	-12.62038997	10.511	10.829	mc4	0.053	6440	F5/8	197524
209.3205428000	-13.4673040700	VizieR	5559	1169	1	209.32054280	-13.46730407	9.699	11.059	mc4	0.253	4900	G8 IV	197525
209.1964496000	-13.8775578800	VizieR	5559	1223	1	209.19644960	-13.87755788	9.078	9.456	mc4	0.375	7200	F0 V	197526
209.1153282000	-13.8927604100	VizieR	5559	1313	1	209.11532820	-13.89276041	10.046	11.220	mc4	0.116	4900	G8/K0 (III)	197527
207.7744659100	-13.6792119600	VizieR	5559	1341	1	207.77446591	-13.67921196	7.186	7.621	mc4	0.365	6870	F3 IV	197528
210.4231094100	-13.2124846600	VizieR	5560	4	1	210.42310941	-13.21248466	10.176	10.685	mc4	0.265	6440	F6/7 V	197529
210.0103303900	-13.7169190500	VizieR	5560	178	1	210.01033039	-13.71691905	9.616	10.082	mc4	0.266	6890	F2 V	197531
210.7892996100	-12.6209504300	VizieR	5560	439	1	210.78929961	-12.62095043	9.668	10.349	mc4	0.455	6030	G0 V	197538
210.0313428300	-13.4667730200	VizieR	5560	636	1	210.03134283	-13.46677302	7.796	9.095	mc4	0.356	4750	K0 III	197542
210.9297426400	-13.0224283400	VizieR	5560	714	1	210.92974264	-13.02242834	9.658	11.741	mc4	0.216	3950	K5/M1	197545
210.3461843500	-12.9184023100	VizieR	5560	879	1	210.34618435	-12.91840231	9.909	10.596	mc4	0.323	5850	G1 IV	197546
210.0177019600	-12.7064390500	VizieR	5560	1079	1	210.01770196	-12.70643905	9.578	10.165	mc4	0.599	6440	F6 V	197552
209.5753033800	-12.6253092100	VizieR	5560	1135	1	209.57530338	-12.62530921	9.633	10.227	mc4	0.495	6440	F5 V	197553
210.1902754300	-13.5696057700	VizieR	5560	1227	1	210.19027543	-13.56960577	10.003	10.936	mc4	0.887	5250	K0 V	197557
211.0031704800	-12.7526238700	VizieR	5560	1326	1	211.00317048	-12.75262387	8.310	8.431	mc4	0.171	9520	A0 V	197561
